No,ARO,Municipio,Ubicación,No. filtros ,Poblacion,Objeto,Tipo de filtro, Comunidad,Enfoque Diferencial,Lugar de entrega,COD. SISA,Fecha de entrega ,Año,Equipo,Responsable 
149,TULUA,SAN PEDRO,MONTEREDONDO - LOS MATES - ANGOSTURAS - GUAQUEROS - LA SIRIA ,150,600,Viviendas,EKOFIL,Campesinos ,NA,,,17/12/2025,2025,UES,Cristian Amaris - Principal
150,TULUA,SEVILLA,MANZANILLO,1,8,Institucion Educativa ,EKOFIL,Campesinos ,NA,I.E. JORGE ELIECER GAITAN SEDE ANTONIO RICAURTE,276736000224,15/12/2025,2025,UES,Cristian Amaris - Principal
151,TULUA,SEVILLA,MANZANILLO,75,300,Viviendas,EKOFIL,Campesinos ,NA,,,15/12/2025,2025,UES,Cristian Amaris - Principal
152,CALI,VIJES,INSITUCIONES EDUCATIVAS,5,20,Institucion Educativa ,EKOFIL,Campesinos ,NA,,,23/12/2025,2025,UES,Cristian Amaris - Principal
153,TULUA,YOTOCO,EL DELIRIO,1,13,Institucion Educativa ,EKOFIL,Campesinos ,NA,I.E. SAN JUAN BOSCO SEDE CARLOS ALFONSO GIL,276890000458,13/12/2025,2025,UES,Cristian Amaris - Principal
154,TULUA,YOTOCO,EL DELIRIO,95,380,Viviendas,EKOFIL,Campesinos ,NA,,,13/12/2025,2025,UES,Cristian Amaris - Principal
155,CALI,VIJES,VIDAL,70,280,Institucion Educativa ,EKOFIL,Campesinos ,NA,,,4/02/2026,2026,ROTARY,George Rivera - Rotary
156,TULUA,TRUJILLO,MELENAS,1,32,Institucion Educativa ,EKOFIL,,,I.E. ANTONIO JOSE DE SUCRE SEDE BELISARIO PEÑA,276828000247,6/02/2026,2026,ROTARY,George Rivera - Rotary
157,TULUA,TRUJILLO,LA SONADORA,1,5,Institucion Educativa ,EKOFIL,Campesinos ,NA,I.E.  ANTONIO JOSE DE SUCRE SEDE MARIA PEREGRINA GARCIA,276828000344,6/02/2026,2026,ROTARY,George Rivera - Rotary
158,TULUA,TRUJILLO,MELENAS - LA SONADORA,56,224,Viviendas,EKOFIL,Campesinos ,NA,,,6/02/2026,2026,ROTARY,George Rivera - Rotary
159,CALI,DAGUA,Buenos Aires ,62,248,Viviendas,,,,,,,2026,ROTARY,George Rivera - Rotary
160,CALI,DAGUA,CENTELLA ALTA,52,208,Viviendas,,,,,,,2026,ROTARY,George Rivera - Rotary
161,CALI,DAGUA,LA CLEMENTINA (BAHONDO),21,84,Viviendas,,,,,,,2026,ROTARY,George Rivera - Rotary
162,CALI,DAGUA,LOS COLORADOS,20,80,Viviendas,,,,,,,2026,ROTARY,George Rivera - Rotary
163,CALI,DAGUA,SAN VICENTE ALTO,21,82,Viviendas,,,,,,,2026,ROTARY,George Rivera - Rotary
164,CALI,LA CUMBRE,CENTENARIO,48,192,Viviendas,,,,,,,2026,ROTARY,George Rivera - Rotary
165,CALI,GINEBRA,CANAIMA,23,92,Viviendas,,,,,,,2026,ROTARY,George Rivera - Rotary
166,CALI,GINEBRA,LOS MEDIOS,34,136,Viviendas,,,,,,,2026,ROTARY,George Rivera - Rotary
167,CALI,GINEBRA,MORAVIA ,24,96,Viviendas,,,,,,,2026,ROTARY,George Rivera - Rotary
168,CALI,PRADERA,SAN ANTONIO,46,184,Viviendas,,,,,,,2026,ROTARY,George Rivera - Rotary
