ID,NOMBRE_EMPRESA,ENTIDAD,DIRECCIÓN,MUNICIPIO,Corregimiento,pais,Departamento,ubicación,TELÉFONO,CORREO ELECTRÓNICO,FECHA DE VISITA,CONCEPTO,CLASIFICACIÓN,ADDRESS_KML,LATITUD,LONGITUD,ALTITUD,ESTADO_COORDENADA,FUENTE_COORDENADA,ESTADO_MAPA,ANIO_VISITA
11,SANEAMIENTO AMBIENTAL EMPRESA ASOCIATIVA DE TRABAJO,Secretaría Departamental de Salud del Valle del Cauca-UESVALLE,Carrera 10 # 7-74 Piso 2,Zarzal,,Colombia,Valle del Cauca,"Colombia,Valle del Cauca,Zarzal,Carrera 10 # 7-74 Piso 2",3168948759,juceberar@hotmail.com,21/05/2025,Favorable,Terrestre,"Colombia,Valle del Cauca,Zarzal,Carrera 10 # 7-74 Piso 2",4.393408,-76.0725439,0,CON COORDENADA,GEOMETRIA_POINT_KML,CON COORDENADA,2025
12,SANEAMIENTO AMBIENTAL FUMIZAR,Secretaría Departamental de Salud del Valle del Cauca-UESVALLE,Manzana D Casa 11,Zarzal,Limones,Colombia,Valle del Cauca,"Colombia,Valle del Cauca,Zarzal,Manzana D Casa 11",3155776573,fumizar2013@hotmail.com,21/05/2025,Favorable,Terrestre,"Colombia,Valle del Cauca,Zarzal,limones",4.38825419030397,-76.0471589581045,,SIN COORDENADA,COORDENADA_DISPONIBLE_EN_ARCHIVO,CON COORDENADA,2025
13,MANTENIMIENTOS BAUTISTA,Secretaría Departamental de Salud del Valle del Cauca-UESVALLE,Calle 7 Cra 16 C Mz 11 Casa 5 Piso 3,Restrepo,,Colombia,Valle del Cauca,"Colombia,Valle del Cauca,Restrepo,Calle 7 Cra 16 C Mz 11 Casa 5 Piso 3",3136536048,mantenimientoyroceria@gmail.com,30/04/2025,Favorable,Terrestre,"Colombia,Valle del Cauca,Restrepo,Calle 7 Cra 16 C Mz 11 Casa 5 Piso 3",3.8195117,-76.52366479999999,0,CON COORDENADA,GEOMETRIA_POINT_KML,CON COORDENADA,2025
14,INGENIO RIOPAILA,Secretaría Departamental de Salud del Valle del Cauca-UESVALLE,La Paila,Zarzal,La Paila,Colombia,Valle del Cauca,"Colombia,Valle del Cauca,Zarzal, ingenio riopaila",,,,,Aérea,"Colombia,Valle del Cauca,Zarzal, ingenio riopaila",4.3190617,-76.0887612,0,CON COORDENADA,GEOMETRIA_POINT_KML,CON COORDENADA,
15,ABC FUMIGACIONES COLOMBIA S.A.S,Secretaría de Salud de Palmira,Carrera 26 A No 12A-60,Palmira,,Colombia,Valle del Cauca,"Colombia,Valle del Cauca,Palmira,Carrera 26 A No 12A-60",,gerencia@abcfumigaciones.com,2/23/2023,Favorable,Terrestre,"Colombia,Valle del Cauca,Palmira,Carrera 26 A No 12A-60",3.512143,-76.299314,0,CON COORDENADA,GEOMETRIA_POINT_KML,CON COORDENADA,2023
16,COLPLAGAS LTDA,Secretaría de Salud Distrito de Santiago de Cali,Calle 30 N No. 2 bis-46,Santiago de Cali,,Colombia,Valle del Cauca,"Colombia,Valle del Cauca,Santiago de Cali,Calle 30 N No. 2 bis-46",,manuel.cadavid@rentokil-initial.com,9/8/2023,Favorable,Terrestre,"Colombia,Valle del Cauca,Santiago de Cali,Calle 30 N No. 2 bis-46",3.4660225,-76.52121369999999,0,CON COORDENADA,GEOMETRIA_POINT_KML,CON COORDENADA,2023
17,FUMIGACIONES Y EXTINTORES MILLENNIUM LTDA,Secretaría de Salud Distrito de Santiago de Cali,Carrera 23 C No. 9F-21,Santiago de Cali,,Colombia,Valle del Cauca,"Colombia,Valle del Cauca,Santiago de Cali,Carrera 23 C No. 9F-21",,fumigacionesmillennium@hotmail.com,8/22/2025,Favorable,Terrestre,"Colombia,Valle del Cauca,Santiago de Cali,Carrera 23 C No. 9F-21",3.4344867,-76.53186459999999,0,CON COORDENADA,GEOMETRIA_POINT_KML,CON COORDENADA,2025
18,PEST FUMIGATION,Secretaría de Salud Distrito de Santiago de Cali,Carrera 40 A No. 49-74,Santiago de Cali,,Colombia,Valle del Cauca,"Colombia,Valle del Cauca,Santiago de Cali,Carrera 40 A No. 49-74",,pestfumigation49@gmail.co,7/4/2023,Favorable,Terrestre,"Colombia,Valle del Cauca,Santiago de Cali,Carrera 40 A No. 49-74",3.4080208,-76.5018796,0,CON COORDENADA,GEOMETRIA_POINT_KML,CON COORDENADA,2023
19,SIMPA S.A.S.,Secretaría de Salud Distrito de Santiago de Cali,Carrera 28D No.72F-137 Local 101,Santiago de Cali,,Colombia,Valle del Cauca,"Colombia,Valle del Cauca,Santiago de Cali,Carrera 28D No.72F-137 Local 101",,soluciones@simpa.com.co,7/18/2025,Favorable,Terrestre,"Colombia,Valle del Cauca,Santiago de Cali,Carrera 28D No.72F-137 Local 101",3.426114999999999,-76.4956432,0,CON COORDENADA,GEOMETRIA_POINT_KML,CON COORDENADA,2025
20,TNK S:A.S,Secretaría de Salud Distrito de Santiago de Cali,Avenida 4 Norte No. 48N-23,Santiago de Cali,,Colombia,Valle del Cauca,"Colombia,Valle del Cauca,Santiago de Cali,Avenida 4 Norte No. 48N-23",,grupotnk@yahoo.com,14/10/2025,Favorable,Terrestre,"Colombia,Valle del Cauca,Santiago de Cali,Avenida 4 Norte No. 48N-23",3.475761399999999,-76.5234789,0,CON COORDENADA,GEOMETRIA_POINT_KML,CON COORDENADA,2025
21,BRILLANTEX MULTISERVICIOS S.A.S,Secretaría de Salud Distrito de Santiago de Cali,Carrera 59 # 2E-46,Santiago de Cali,,Colombia,Valle del Cauca,"Colombia,Valle del Cauca,Santiago de Cali,Carrera 59 # 2E-46",,calidad@brillantex.com,1/29/2026,Favorable,Terrestre,"Colombia,Valle del Cauca,Santiago de Cali,Carrera 59 # 2E-46",3.407515,-76.555234,0,CON COORDENADA,GEOMETRIA_POINT_KML,CON COORDENADA,2026
