CODIGO_ANTERIOR,MUNICIPIO,PERSONA_PRESTADORA,NOMBRE_SISTEMA,ARO,FECHA_VISITA_1_2,CONCEPTO_1_2,FUNCIONARIO_1_2,IRCA_1_2,OBSERVACION_1_2,COMPONENTE_AFECTADO,INTERVENCION_SUGERIDA,HALLAZGO_CLAVE,FECHA_MUESTREO_1_7,IRCA_1_7,CODIGO_LABORATORIO_1_7,RESULTADO_1_7,ESTADO_MUESTRA_1_7,PUNTO_MUESTREO_1_7,TIPO_ANALISIS_1_7,SOPORTE_SISA,TOTAL_VISITAS_1_2,TOTAL_MUESTREOS_1_7
102222,ANDALUCÍA,ACUEDUCTO RURAL EL PLACER,ACUEDUCTO RURAL EL PLACER,2,2026-02-05,DESFAVORABLE,WILLIAM ALBERTO CARLOSAMA JIMENEZ,82.20,"EL SISTEMA PRESENTA DIFICULTAD EN LA CAPACIDAD YA QUE ES AFECTADO POR TEMPORADA DE LLUVIAS, SE REQUIERE INTERVENCIÓN O CONSTRUCCIÓN DE BOCATOMA DESARENADOR EN BUEN ESTADO, TANQUE EN BUEN ESTADO. CON CARPETA DESINFECCIÓN, NO SE REALIZA DESINFECCION, EL TRATAMIENTO DEL AGUA PARA EL CONSUMO. SE REQUIERE: INTERVENCIÓN EN BOCATOMA, SESIÓN SISTEMA DE TRATAMIENTO A NIVEL DE COLECTOR O INDIVIDUAL QUE GARANTICE LA CALIDAD DE AGUA. INICIAR PROCESOS DE DESINFECCIÓN, CERTIFICAR, FONTANERO EN COMPETENCIA LABORALES, CONTAR CON EQUIPOS DE CONTROL E IMPLEMENTAR CONTROL DE VÁLVULAS DE TANQUE, EQUILIBRIO DE MANERA VIGENTE, COMPLEMENTAR MEDICIÓN PARA EL CONTROL DE AGUA",Desinfección,Desinfección / cloración,"desinfeccion, desinfección. También menciona: Tratamiento / filtración, Captación / bocatoma",2026-03-24,79.13,20260324-7392-VIG,Aceptada,Cerrado,76036-2,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,2
64871,ANDALUCÍA,ACUEDUCTO RURAL PARDO ALTO,ACUEDUCTO RURAL PARDO ALTO,2,2026-02-04,DESFAVORABLE,WILLIAM ALBERTO CARLOSAMA JIMENEZ,65.00,"ACUEDUCTO REQUIERE MEJOARAR SU BOCATOMA, NO CUENTA CON DESARENADO TECNICAMENTE ADECUADO. TANQUE (2) SIN CERRAMIENTO SE REUIQRE: MEJORAR BOCATOMA, DESARENADOR, GESTIONAR E INICIAR PROCESOS DE DESINFECCION, PROCESOS DE TRATAMIENTO DE MANERA INDIVIDUAL O COLECTIVA QUE GARANTICEN LA CALIDAD DE AGUA, CERTIFICAR FONTANERO EN COMPETENCIAS LABORALES, IMPLEMETAR CONTROL DE PROCESOS, VALVULAS DE PURGAS, DOCUMENTAR MANUALIMENTE OPERACION Y TRATAMIENTO DE LIMPIEZA Y DESINFECCION",Desinfección,Desinfección / cloración,"desinfeccion, desinfección. También menciona: Tratamiento / filtración, Captación / bocatoma",2026-04-07,,20260407-7571-MR,0,0,40422-6,Fisicoquimico,Visita 1.2 + muestreo 1.7,1,3
127158,ANDALUCÍA,MUNICIPIO DE ANDALUCIA PEÑON ALTO,MUNICIPIO DE ANDALUCIA PEÑON ALTO,2,2026-05-20,DESFAVORABLE,WILLIAM ALBERTO CARLOSAMA JIMENEZ,29.97,EL ACUEDUCTO SE ENCUENTRA A CARGO DE LA ADMINISTRACIÓN MUNICIPAL. SE CUENTA CON PLANTA DE TRATAMIENTO LA CUAL NO SE ENCUENTRA EN OPERACIÓN. LA COMUNIDAD SE ABASTECE POR MANGUERAS O SOLUCIÓN INDIVIDUALES CONECTADAS DESDE LA FUENTE ABASTECEDORA. SE CUENTA CON FILTROS DOMICILIARIOS PARA EL TRATAMIENTO DEL AGUA DE CONSUMO DIRECTO. LA ALCALDÍA CONTRATÓ DISEÑO PARA OPTIMIZACIÓN DEL SISTEMA. SE RECOMIENDA CONTINUAR GESTIÓN PARA PUESTA EN OPERACIÓN DEL ACUEDUCTO.,Tratamiento,Tratamiento / filtración,"tratamiento, filtro. También menciona: Captación / bocatoma, Red / conducción",2026-03-24,45.80,20260324-7391-VIG,Aceptada,Cerrado,76036-3,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,3
81280,ANSERMANUEVO,ACUEDUCTO COMUNITARIO SALAZAR,ACUEDUCTO BARRIO SALAZAR,1,2026-03-13,DESFAVORABLE,SAIR HAIRTON IBARGUEN RENTERIA,59.20,"DURANTE LA VISITA SE EVIDENCIA QUE EL SISTEMA DE ABASTO DEL BARRIO SALAZAR SE ENCUENTRA ADELANTADO ADECUACIONES CON LA INSTALACION DE FILTROS RAPIDOS DONADOS POR VALLECAUCANA DE AGUAS, Y FILTROS, SE EVIDENCIA QUE REALIZAR DESINFECCION, ELABORAR PLAN DE CUMPLIMIENTO DE ACUERDO A LOS ITEM`S VALORADOS NEGATIVAMENTE O PARCIAL, PLAZO PARA LA ELABORACION 30 DIAS.",Desinfección,Desinfección / cloración,"desinfeccion, desinfección. También menciona: Tratamiento / filtración",2026-05-19,21.27,20260519-8374-VIG,Aceptada,Cerrado,0002,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,1
109398,ANSERMANUEVO,ACUEDUCTO EL CASTILLO,ACUEDUCTO EL CASTILLO,1,2026-02-27,DESFAVORABLE,EDWARD RAUL JAIMES VERA,70.77,"REALIZAR LAS GESTIONES NECESARIAS PARA LA ORGANIZACIÓN DE LA JUNTA ADMINISTRADORA DEL ACUEDUCTO PARA MEJORAR LAS CONDICIONES DE MANEJO TANTO ADMINISTRATIVO COMO OPERATIVO Y DESIGNAR UN FONTANERO QUE SE CERTIFIQUE EN COMPETENCIAS LABORARLES DEL SENA. ELABORAR Y PRESENTAR UN PLAN DE CUMPLIMIENTO EN EL QUE SE DESCRIBAN LAS ACCIONES A REALIZAR PARA MEJORAR LA CALIDAD OBTENIDA Y MEJORAR LA CALIDAD DEL AGUA SUMINISTRADA. PLAZO DE ENTREGA TREINTA (30) DÍAS. NOTA DECRETO DEPARTAMENTAL 0294/2016 NO HAY CRIADERO DE VECTORES. SE SOLICITA AL ÁREA DE PLANEACIÓN Y GESTIÓN DOCUMENTAL REALIZAR LA ACTUALIZACIÓN DEL REPRESENTANTE LEGAL, CÉDULA Y RAZÓN SOCIAL TAMBIEN EL # DE CELUAR",Protección sanitaria,Protección sanitaria / fuente,"criadero, vectores. También menciona: Operación y mantenimiento, Gestión administrativa",2026-05-19,56.73,20260519-8366-VIG,Aceptada,Cerrado,0001,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,1
81281,ANSERMANUEVO,ACUEDUCTO RURAL LA HONDURA,ACUEDUCTO RURAL LA HONDURA,1,2026-01-28,DESFAVORABLE,SAIR HAIRTON IBARGUEN RENTERIA,69.68,"ES NECESARIO DAR CUMPLIMIENTO A LOS ITEM`S VALORADOS NEGATIVAMENTE EN EL ACTA #0038, ASI MISMO DOCUMENTAR ACTIVIDADES DE OPERACION Y MANTENIMIENTO DE LAS UNIDADES QUE CONFORMAN EL SISTEMA, CONFORMAN LA JUNTA DEL ACUEDUCTO, CON EL FIN DE GARANTIZAR LA PRESTACION DEL SERVICIO.",Operación,Operación y mantenimiento,"mantenimiento, operacion, operación. También menciona: Gestión administrativa",2026-05-19,78.01,20260519-8369-VIG,Aceptada,Cerrado,0001,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,2
116852,ANSERMANUEVO,ACUEDUCTO VEREDAS LAS PALOMAS- EL BOSQUE,ACUEDUCTO RURAL VEREDA LAS PALOMAS- EL BOSQUE,1,,,,,,Sin dato,Sin observación técnica,Sin observación para clasificar,2026-04-27,85.27,20260427-7933-VIG,Aceptada,Cerrado,0002,Fisicoquimico y Microbiologico,Muestreo 1.7,0,1
86924,ANSERMANUEVO,ASOCIACION DE USUARIOS DEL ACUEDUCTO EL VERGEL - ACUAVERGEL,ACUAVERGEL,1,,,,,,Sin dato,Sin observación técnica,Sin observación para clasificar,2026-04-27,0.00,20260427-7935-VIG,Aceptada,Cerrado,0002,Fisicoquimico y Microbiologico,Muestreo 1.7,0,1
81560,ANSERMANUEVO,ASOCIACION DE USUARIOS DEL ACUEDUCTOS DEL ROBLE - SISTEMA#1 SAN AGUSTIN,ACUAROBLE SISTEMA#1 SAN AGUSTIN,1,2026-03-12,DESFAVORABLE,SAIR HAIRTON IBARGUEN RENTERIA,71.39,"EL SISTEMA DE ABASTO NO CUENTA CON PTAP. ES IMPORTANTE GARANTIZAR LA CALIDAD DEL AGUA SUMINISTRADA POR LO TANTO EL ACUEDUCTO DEBE BUSCAR ALTERNATIVAS PARA GARANTIZAR AGUA DE BUENA CALIDAD DOCUMENTAR CADA ACTIVIDAD RELACIONADA CON LA OPERACIÓN Y MANTENIMIENTO DEL SISTEMA DE ABASTO, REALIZAR QUE PERMITEN MEJORAR LOS INDICADORES DE IRABA, IRCA Y BPS, ES NECESARIO ELABORAR E IMPLEMENTAR PLAN DE CUMPLIMIENTO DE ACUERDO A LOS ITEM´S VALORADORS NEGATIVAMENTE EN LA PRESENTE ACTA #0469, 30 DÍAS PARA LA ELABORACIÓN: NOTA: LA OFICINA DE ANTENCIÓN DE ACUAROBLE EN EL MUNICIPIO DE ANSERMANUEVO CAMBIO DE DOMICILIO, SE LOCALIZA JUNTO A LA I.E COLEGIO PARROQUIAL NOTA: DECRETO DEPARTAMENTAL 0294/2016, NO SE EVIDENCIAN CRIADEROS DE MOSQUITOS",Tratamiento,Tratamiento / filtración,"ptap. También menciona: Protección sanitaria / fuente, Operación y mantenimiento",,,,,,,,Visita 1.2,1,0
88339,ANSERMANUEVO,ASOCIACION DE USUARIOS DEL ACUEDUCTOS DEL ROBLE SISTEMA # 2,ACUAROBLE SISTEMA#2 EL ROBLE,1,,,,,,Sin dato,Sin observación técnica,Sin observación para clasificar,2026-04-27,85.27,20260427-7932-VIG,Aceptada,Cerrado,0001,Fisicoquimico y Microbiologico,Muestreo 1.7,0,1
88266,ANSERMANUEVO,ASOCIACION GESTION COMUNITARIA DE AGUA DE LA COMUNIDAD RURAL LA POPALITA,ASOCIACIÓN DE GESTIÓN COMUNITARIO DEL AGUA DE LA POPALITA,1,2026-01-28,DESFAVORABLE,SAIR HAIRTON IBARGUEN RENTERIA,83.33,"DURANTE LA VISITA SE EVIDENNCIA QUE SE HAN REALIZADO ADECUACIONES AL TANQUE DE ALMACENAMIENTO, POR MEDIO DIGITAL SE EVIDENCIA LAS JORNADAS DE ORDEN DE ASEO. CON EL FIN DE GARANTIZAR LA CALIDAD DEL AGUA SUMINISTRADA ES NECESARIO ESTUDIAR LA POSIBILIDAD DE ADQUIRIR DISPOSITIVOS INTRADOMICILIARIOS PARA EL TRATAMIENTO A NIVEL HOGAR.",Tratamiento,Tratamiento / filtración,"tratamiento, dispositivos intradomiciliarios. También menciona: Tanque / almacenamiento",2026-05-19,78.01,20260519-8367-VIG,Aceptada,Cerrado,0002,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,1
102412,ANSERMANUEVO,ASOCIACION GESTION COMUNITARIA DE AGUA DE LA COMUNIDAD VEREDA LA DIVISA,ACUEDUCTO LA DIVISA,1,,,,,,Sin dato,Sin observación técnica,Sin observación para clasificar,2026-02-23,93.85,20260223-6811-VIG,Aceptada,Cerrado,0002,Fisicoquimico y Microbiologico,Muestreo 1.7,0,1
110255,ANSERMANUEVO,ASOCIACION GESTORA COMUNITARIA DEL AGUA DE LA COMUNIDAD RURAL REAL PLACER,ACUEDUCTO REAL PLACER / ACUAPLACER,1,2026-06-06,FAVORABLE CON REQUERIMIENTOS,EDWARD RAUL JAIMES VERA,20.87,"SE DEBE ELABORAR Y PRESENTAR UN PLAN DE CUMPLIMIENTO EN EL QUE SE DESCRIBAN LAS ACCIONES A REALIZAR PARA MEJORAR LA CALIFICACION DE LOS ITEMS EVALUADOS EN LA PRESENTE ACTA Y ASI MEJORAR LOS INDICADORES DE IRABA, BPS Y MEJORAR Y SOSTENER EL IRCA PARA MEJORAR EL CONCEPTO SANITARIA Y LA CALIDAD DEL AGUA. PLAZO PARA LA PRESENTACION DEL PLAN DE MEJORAMIENTO ES DE 30 DIAS. NOTA: DECRETO DEPARTAMENTAL 0294/2016 NO HAY CRIADERO DE VECTORES.",Protección sanitaria,Protección sanitaria / fuente,"criadero, vectores. También menciona: Gestión administrativa",2026-04-27,0.00,20260427-7934-VIG,Aceptada,Cerrado,0002,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,1
