municipio,fila_fuente,columna_fuente,tipo_inconsistencia,detalle,nivel,accion_recomendada,clasificacion_accion,estado,impacta_indicador
Vijes,43,F,VALOR NO NUMÉRICO EN CAMPO DE CONTEO,Heridos: NO TIENE,INFORMATIVO,Interpretar como 0 en la capa analítica y conservar el texto original para trazabilidad.,NORMALIZACIÓN SEGURA,NORMALIZADO EN CAPA ANALÍTICA,NO
Vijes,43,G,VALOR NO NUMÉRICO EN CAMPO DE CONTEO,Heridos menores: NO TIENE,INFORMATIVO,Interpretar como 0 en la capa analítica y conservar el texto original para trazabilidad.,NORMALIZACIÓN SEGURA,NORMALIZADO EN CAPA ANALÍTICA,NO
Vijes,43,H,VALOR NO NUMÉRICO EN CAMPO DE CONTEO,Heridos mayores: NO TIENE,INFORMATIVO,Interpretar como 0 en la capa analítica y conservar el texto original para trazabilidad.,NORMALIZACIÓN SEGURA,NORMALIZADO EN CAPA ANALÍTICA,NO
Vijes,43,I,VALOR NO NUMÉRICO EN CAMPO DE CONTEO,Fallecidos: NO TIENE,INFORMATIVO,Interpretar como 0 en la capa analítica y conservar el texto original para trazabilidad.,NORMALIZACIÓN SEGURA,NORMALIZADO EN CAPA ANALÍTICA,NO
Vijes,43,J,VALOR NO NUMÉRICO EN CAMPO DE CONTEO,Fallecidos menores: NO TIENE,INFORMATIVO,Interpretar como 0 en la capa analítica y conservar el texto original para trazabilidad.,NORMALIZACIÓN SEGURA,NORMALIZADO EN CAPA ANALÍTICA,NO
Vijes,43,K,VALOR NO NUMÉRICO EN CAMPO DE CONTEO,Fallecidos mayores: NO TIENE,INFORMATIVO,Interpretar como 0 en la capa analítica y conservar el texto original para trazabilidad.,NORMALIZACIÓN SEGURA,NORMALIZADO EN CAPA ANALÍTICA,NO
Vijes,43,L,VALOR NO NUMÉRICO EN CAMPO DE CONTEO,Desaparecidos: NO TIENE,INFORMATIVO,Interpretar como 0 en la capa analítica y conservar el texto original para trazabilidad.,NORMALIZACIÓN SEGURA,NORMALIZADO EN CAPA ANALÍTICA,NO
Vijes,43,M,VALOR NO NUMÉRICO EN CAMPO DE CONTEO,Familias afectadas: NO TIENE,INFORMATIVO,Interpretar como 0 en la capa analítica y conservar el texto original para trazabilidad.,NORMALIZACIÓN SEGURA,NORMALIZADO EN CAPA ANALÍTICA,NO
Vijes,43,N,VALOR NO NUMÉRICO EN CAMPO DE CONTEO,Personas afectadas: NO TIENE,INFORMATIVO,Interpretar como 0 en la capa analítica y conservar el texto original para trazabilidad.,NORMALIZACIÓN SEGURA,NORMALIZADO EN CAPA ANALÍTICA,NO
Alcalá,6,FY-FZ-GA-GB-GC-GD-GE-GF,SERVICIOS PÚBLICOS - FORMATO INCONSISTENTE,Alcantarillado: GC: se esperaba número (Sin informacion),MEDIO,Mantener como dato no disponible; no convertir a cero. Solicitar actualización cuando exista información validada.,ACTUALIZACIÓN DE FUENTE,PENDIENTE / SIN DATO,"SÍ, SI SE USA EL INDICADOR"
Alcalá,6,FY-FZ-GA-GB-GC-GD-GE-GF,SERVICIOS PÚBLICOS - FORMATO INCONSISTENTE,Alcantarillado: GD: se esperaba número (Sin informacion),MEDIO,Mantener como dato no disponible; no convertir a cero. Solicitar actualización cuando exista información validada.,ACTUALIZACIÓN DE FUENTE,PENDIENTE / SIN DATO,"SÍ, SI SE USA EL INDICADOR"
Alcalá,6,GW-GX-GY-GZ-HA-HB-HC-HD,SERVICIOS PÚBLICOS - FORMATO INCONSISTENTE,Energía eléctrica: HA: se esperaba número (Sin informacion),MEDIO,Mantener como dato no disponible; no convertir a cero. Solicitar actualización cuando exista información validada.,ACTUALIZACIÓN DE FUENTE,PENDIENTE / SIN DATO,"SÍ, SI SE USA EL INDICADOR"
Alcalá,6,GW-GX-GY-GZ-HA-HB-HC-HD,SERVICIOS PÚBLICOS - FORMATO INCONSISTENTE,Energía eléctrica: HB: se esperaba número (Sin informacion),MEDIO,Mantener como dato no disponible; no convertir a cero. Solicitar actualización cuando exista información validada.,ACTUALIZACIÓN DE FUENTE,PENDIENTE / SIN DATO,"SÍ, SI SE USA EL INDICADOR"
Alcalá,6,HE-HF-HG-HH-HI-HJ-HK-HL,SERVICIOS PÚBLICOS - FORMATO INCONSISTENTE,Gas: HI: se esperaba número (Sin informacion),MEDIO,Mantener como dato no disponible; no convertir a cero. Solicitar actualización cuando exista información validada.,ACTUALIZACIÓN DE FUENTE,PENDIENTE / SIN DATO,"SÍ, SI SE USA EL INDICADOR"
Alcalá,6,HE-HF-HG-HH-HI-HJ-HK-HL,SERVICIOS PÚBLICOS - FORMATO INCONSISTENTE,Gas: HJ: se esperaba número (Sin informacion),MEDIO,Mantener como dato no disponible; no convertir a cero. Solicitar actualización cuando exista información validada.,ACTUALIZACIÓN DE FUENTE,PENDIENTE / SIN DATO,"SÍ, SI SE USA EL INDICADOR"
Jamundí,26,GW-GX-GY-GZ-HA-HB-HC-HD,SERVICIOS PÚBLICOS - FORMATO INCONSISTENTE,Energía eléctrica: HA: se esperaba número (POR EVALUAR),MEDIO,Mantener como dato no disponible; no convertir a cero. Solicitar actualización cuando exista información validada.,ACTUALIZACIÓN DE FUENTE,PENDIENTE / SIN DATO,"SÍ, SI SE USA EL INDICADOR"
Jamundí,26,GW-GX-GY-GZ-HA-HB-HC-HD,SERVICIOS PÚBLICOS - FORMATO INCONSISTENTE,Energía eléctrica: HB: se esperaba número (POR EVALUAR),MEDIO,Mantener como dato no disponible; no convertir a cero. Solicitar actualización cuando exista información validada.,ACTUALIZACIÓN DE FUENTE,PENDIENTE / SIN DATO,"SÍ, SI SE USA EL INDICADOR"
ESTRUCTURAL / DEPARTAMENTAL,DICCIONARIO_CAMPOS,—,DICCIONARIO DESFASADO DE LA MATRIZ,"El diccionario ubica Acueducto desde FJ, mientras la matriz actual lo ubica desde FQ. Las letras de columna no corresponden a la versión vigente.",ALTO,Usar los encabezados reales de MATRIZ_MUNICIPIOS como fuente de estructura y actualizar el diccionario.,CORRECCIÓN TÉCNICA,PENDIENTE TÉCNICO,NO EN V1 (SE USAN ENCABEZADOS REALES)
ESTRUCTURAL / DEPARTAMENTAL,4,A:JW,FILA DE EJEMPLO EXCLUIDA,La fila 4 está identificada como 'EJEMPLO (fila ilustrativa – no se suma)' y fue excluida de todos los datasets.,INFORMATIVO,Mantener excluida del procesamiento.,CONTROL APLICADO,APLICADO,NO
ESTRUCTURAL / DEPARTAMENTAL,DATOS_GENERALES,B22,FÓRMULA CON REFERENCIA INVÁLIDA,La celda B22 contiene una fórmula con #REF! en DATOS_GENERALES y en su copia.,MEDIO,Corregir la referencia de la fórmula si se requiere usar esta hoja. No utilizar B22 como insumo del tablero.,CORRECCIÓN TÉCNICA,PENDIENTE TÉCNICO,NO EN V1
Guadalajara de Buga,12,FQ / FW-FX,ESTADO Y NARRATIVA POTENCIALMENTE CONTRADICTORIOS,"Acueducto está marcado como Averiado (X), mientras la descripción/perspectiva indican que no se tiene información de afectaciones.",ALTO,Confirmar si el acueducto está efectivamente averiado y actualizar la narrativa o la marca para que ambos campos sean coherentes.,VALIDACIÓN HUMANA,PENDIENTE,SÍ
