id_establecimiento,aro,municipio,establecimiento,ubicacion,direccion,estado_actual,fecha_estado,poblacion_actual,vigencia,fuente_estado,motivo_estado,reemplaza_a,reemplazado_por,prioridad_sanitaria,fecha_diagnostico,n_fotos
ATI-011,ARO Centro - Tuluá,Riofrío,I.E. Nemesio Rodríguez Escobar - Sede Principal (Fenicia),Cra 3 No. 9-54,,Activo - ocupado,2026-08-26,26,Vigente,PIC/Gobernación · fuente complementaria,Seguimiento complementario del albergue Fenicia.,,,Media,2026-08-12,0
ATI-012,ARO Norte - Cartago,Roldanillo,Coliseo Iván Muñoz Villa,Carrera 4 #(10A-1 - 10A-99),,Trasladado / reubicado,2026-08-13,0,Histórico,Registro EIS / seguimiento PIC,Traslado por riesgo/afectación del Coliseo Iván Muñoz Villa.,,ATI-013,Alta,2026-08-12,0
ATI-013,ARO Norte - Cartago,Roldanillo,Coliseo Nuestra Señora de Chiquinquirá,Área urbana / Sin dato,,Activo - ocupado,2026-08-27,67,Vigente,PIC/Gobernación · fuente complementaria,Seguimiento posterior del Coliseo Nuestra Señora de Chiquinquirá.,ATI-012,,Baja,2026-08-20,0
ATI-014,ARO Centro - Tuluá,Sevilla,Alojamiento Temporal Municipal de Sevilla,Alcaldía SSM,,Activo - ocupado,2026-08-14,10,Vigente,Registro EIS UESVALLE,Último diagnóstico directo disponible.,,,Media,2026-08-14,0
ATI-015,ARO Norte - Cartago,Versalles,Coliseo Cubierto María Isabel Cruz,Sin dirección documentada,,Habilitado - sin ocupación,2026-08-18,0,Vigente,PIC/Gobernación · fuente complementaria,El seguimiento reporta que las personas ya no se encontraban en este alojamiento; no se interpreta como cierre formal.,,,Media,2026-08-13,0
ATI-016,ARO Centro - Tuluá,Yotoco,Coliseo Polideportivo Zawadski,CR 5 # 7-79 / I.E. Alfonso Zawadzky,,Activo - ocupado,2026-08-14,50,Vigente,Registro EIS UESVALLE,Último diagnóstico directo disponible.,,,Baja,2026-08-14,0
ATI-017,ARO Centro - Tuluá,Zarzal,Estadio Municipal de Zarzal,Estadio Municipal,,Activo - ocupado,2026-08-13,6,Vigente,Registro EIS UESVALLE,PIC/Gobernación reporta posteriormente 9 personas en 'Coliseo municipal' el 01/09; alias con Estadio Municipal pendiente de confirmar.,ATI-018,,Baja,2026-08-13,0
ATI-018,ARO Centro - Tuluá,Zarzal,Primer piso Dirección Local de Salud,Primer piso de la DLS,,Trasladado / reubicado,2026-08-13,0,Histórico,Registro EIS / seguimiento PIC,Traslado desde Dirección Local de Salud hacia el sitio deportivo municipal.,,ATI-017,Media,2026-08-12,0
ATI-019,ARO Norte - Cartago,El Dovio,Estadio Municipal Rodrigo Lloreda Caicedo,Área urbana,Estadio Municipal / dirección consignada en formato,Activo - ocupado,2026-09-01,6,Vigente,Lista de chequeo UESVALLE 01/09,Nuevo ATI validado: Estadio Municipal Rodrigo Lloreda Caicedo.,,,Baja,2026-09-01,0
ATI-020,ARO Norte - Cartago,Versalles,Coliseo Deportivo - Corregimiento La Florida,Corregimiento La Florida,"Coliseo Deportivo, corregimiento La Florida",Activo - ocupado,2026-08-31,7,Vigente,Lista de chequeo UESVALLE 31/08,Nuevo ATI rural validado: Coliseo Deportivo del corregimiento La Florida.,,,Media,2026-08-31,0
