CODIGO_MUESTRA,TIPO_SERVICIO_FICHA,FECHA_TOMA_MUESTRA,NUMERO_ACTA,TIPO_MUESTRA,PUNTO_MUESTREO,LUGAR_TOMA_MUESTRA,DIRECCION,DEPARTAMENTO_PUNTO_MUESTREO,MUNICIPIO_PUNTO_MUESTREO,TIPO_LUGAR,CORREGIMIENTO_VEREDA,BARRIO,TIPO_FUENTE,NOMBRE_FUENTE,DEPARTAMENTO_ACUEDUCTO,MUNICIPIO,TIPO_ENTIDAD_PRESTADOR,PRESTADOR,TELEFONO_PRESTADOR,DIRECCION_PRESTADOR,ENTIDAD_REMITE_FICHA,MUESTRA_TOMADA_POR,OBSERVACIONES_FICHA,FECHA_FILTRO_RECEPCION_FICHA,ARO_FICHA,ARCHIVO_FICHA,LOTE_FICHA,RUTA_ARCHIVO_FICHA
20260119-6095-VIG,VIGILANCIA RUTINARIA,19/01/2026,NR-02,Agua tratada,76036-2,GRIFO INSTALADO PUNTO FIJO,CR 4 CL 12 PARQUE PRINCIPAL HOSPITAL,76 - VALLE DEL CAUCA,76036 - ANDALUCÍA,URBANO,,CENTRO,RÍO,BUGALAGRANDE,76 - VALLE DEL CAUCA,76036 - ANDALUCÍA,ACUEDUCTO,SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P. - ANDALUCIA,2235235,CL 13 # 2-06,UESVALLE - ARO TULUÁ,NATALIA RAIGOZA,La muestra de fisicoquímico y color aparente se toma en envase de vidrio de color ámbar de 1000ml. Representante legal Jorge Enrique Sánchez Cerón con CC 6.319.264,19/01/2026,Tuluá,muestras_fichas_CONSOLIDADO_lote_20260526_2058.csv,20260526_2058,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_2058\muestras_fichas_CONSOLIDADO_lote_20260526_2058.csv
20260119-6097-VIG,VIGILANCIA RUTINARIA,19/01/2026,NR-01,Agua tratada,76036-1,GRIFO INSTALADO PUNTO FIJO,CARRERA 5 CON CALLE 1 Y 2 BARRIO SAN VICENTE,76 - VALLE DEL CAUCA,76036 - ANDALUCÍA,URBANO,,SAN VICENTE,RÍO,BUGALAGRANDE,76 - VALLE DEL CAUCA,76036 - ANDALUCÍA,ACUEDUCTO,SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P. - ANDALUCIA,2235235,CL 13 # 2-06,UESVALLE - ARO TULUÁ,NATALIA RAIGOSA MEDINA,La muestra de fisicoquímico y color aparente se toma en envase de vidrio de color ámbar de 1000ml. Representante legal Jorge Enrique Sánchez Cerón con CC 6.319.264,19/01/2026,Tuluá,muestras_fichas_CONSOLIDADO_lote_20260526_2058.csv,20260526_2058,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_2058\muestras_fichas_CONSOLIDADO_lote_20260526_2058.csv
20260119-6099-VIG,VIGILANCIA RUTINARIA,19/01/2026,NR-06,Agua tratada,761130-03,GRIFO INSTALADO PUNTO FIJO,CL 1 CR 1 WALCOCHE,76 - VALLE DEL CAUCA,76113 - BUGALAGRANDE,URBANO,,WALCOCHE,RÍO,BUGALAGRANDE,76 - VALLE DEL CAUCA,76113 - BUGALAGRANDE,ACUEDUCTO,SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P.-BUGALAGRANDE,2235235,CR 6 # 6-47,UESVALLE - ARO TULUÁ,NATALIA RAIGOSA MEDINA,La muestra de fisicoquímico y color aparente se toma en envase de vidrio de color ámbar de 1000ml. Representante legal Jorge Enrique Sánchez Cerón con CC 6.319.264,19/01/2026,Tuluá,muestras_fichas_CONSOLIDADO_lote_20260526_2058.csv,20260526_2058,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_2058\muestras_fichas_CONSOLIDADO_lote_20260526_2058.csv
20260119-6100-VIG,VIGILANCIA RUTINARIA,19/01/2026,NR-06-1,Agua tratada,761130-05,GRIFO INSTALADO PUNTO FIJO,CL 7 CR 6 Y 7 ESCUELA LA MARIA INMACULADA,76 - VALLE DEL CAUCA,76113 - BUGALAGRANDE,URBANO,,CENTRO,RÍO,BUGALAGRANDE,76 - VALLE DEL CAUCA,76113 - BUGALAGRANDE,ACUEDUCTO,SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P.-BUGALAGRANDE,2235235,CR 6 # 6-47,UESVALLE - ARO TULUÁ,NATALIA RAIGOSA,La muestra de fisicoquímico y color aparente se toma en envase de vidrio de color ámbar de 1000ml. Representante legal Jorge Enrique Sánchez Cerón con CC 6.319.264,19/01/2026,Tuluá,muestras_fichas_CONSOLIDADO_lote_20260526_2058.csv,20260526_2058,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_2058\muestras_fichas_CONSOLIDADO_lote_20260526_2058.csv
20260119-6106-VIG,VIGILANCIA RUTINARIA,19/01/2026,OAR190126-008,Agua tratada,0010,GRIFO,FRENTE A IE SAN RAFAEL VDA LINDERO,76 - VALLE DEL CAUCA,76622 - ROLDANILLO,RURAL,VEREDA SAN RAFAEL,,LAGO,EMBALSE SARA BRUT,76 - VALLE DEL CAUCA,76622 - ROLDANILLO,ACUEDUCTO,"ACUACAMPO:ISUGU EL SILENCIO PUERTO QUINTERO, CANDELARIA, PUEBLO, NUEVO, EL RINCON, SIMON BOLIVAR Y REMOLINO",SD,VEREDA SIMON BOLIVAR,UESVALLE - ARO CARTAGO,OSCAR ARMANDO RIOS,,19/01/2026,Cartago,muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv,20260526_1510,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_1510\muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv
20260120-6119-VIG,VIGILANCIA RUTINARIA,20/01/2026,OAR200126-002,Agua tratada,4210,GRIFO,HIGUERONCITO / IE ELIODORO PEÑA,76 - VALLE DEL CAUCA,76400 - LA UNIÓN,URBANO,,VEREDA HIGUERONCITO,LAGO,EMBALSE SARA BRUT,76 - VALLE DEL CAUCA,76400 - LA UNIÓN,ACUEDUCTO,SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P.-LA UNIÓN,2293156,CLL 12 # 13-29,UESVALLE - ARO CARTAGO,OSCAR ARMANDO RIOS,,20/01/2026,Cartago,muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv,20260526_1510,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_1510\muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv
20260120-6120-VIG,VIGILANCIA RUTINARIA,20/01/2026,OAR200126-003,Agua tratada,4211,GRIFO,IE JOSEFINA PEÑA - VDA MORELIA,76 - VALLE DEL CAUCA,76400 - LA UNIÓN,URBANO,,VDA MORELIA,LAGO,EMBALSE SARA BRUT,76 - VALLE DEL CAUCA,76400 - LA UNIÓN,ACUEDUCTO,SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P.-LA UNIÓN,2293156,CLL 12 # 13-29,UESVALLE - ARO CARTAGO,OSCAR ARMANDO RIOS,,20/01/2026,Cartago,muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv,20260526_1510,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_1510\muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv
20260120-6121-VIG,VIGILANCIA RUTINARIA,20/01/2026,OAR200126-004,Agua tratada,4212,GRIFO,FINCA LA DESPENSA - VDA MARTINDOZA,76 - VALLE DEL CAUCA,76400 - LA UNIÓN,URBANO,,VDA MARTINDOZA,LAGO,EMBALSE SARA BRUT,76 - VALLE DEL CAUCA,76400 - LA UNIÓN,ACUEDUCTO,SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P.-LA UNIÓN,2293156,CLL 12 # 13-29,UESVALLE - ARO CARTAGO,OSCAR ARMANDO RIOS,,20/01/2026,Cartago,muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv,20260526_1510,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_1510\muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv
20260120-6122-VIG,VIGILANCIA RUTINARIA,20/01/2026,OAR200126-001,Agua tratada,4209,GRIFO,ESCUELA JOSE ANCIZAR HENAO VDA LA CAMPESINA,76 - VALLE DEL CAUCA,76400 - LA UNIÓN,URBANO,,VDA LA CAMPESINA,LAGO,EMBALSE SARA BRUT,76 - VALLE DEL CAUCA,76400 - LA UNIÓN,ACUEDUCTO,SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P.-LA UNIÓN,2293156,CLL 12 # 13-29,UESVALLE - ARO CARTAGO,OSCAR ARMANDO RIOS,,20/01/2026,Cartago,muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv,20260526_1510,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_1510\muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv
20260120-6123-VIG,VIGILANCIA RUTINARIA,20/01/2026,cmaa200126-1,Agua tratada,5506,grifo,ie san juan barco-cgto el bohio,76 - VALLE DEL CAUCA,76823 - TORO,RURAL,el bohio,,QUEBRADA,el lazaro-embalse sarabrut,76 - VALLE DEL CAUCA,76823 - TORO,ACUEDUCTO,ACUAVALLE S.A E.S.P TORO,3223605259,CRA 2 # 7 -46,UESVALLE - ARO CARTAGO,carlos mario arngo,,20/01/2026,Cartago,muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv,20260526_1510,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_1510\muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv
20260120-6124-VIG,VIGILANCIA RUTINARIA,20/01/2026,CMAA200126-2,Agua tratada,5507,GRIFO,IE TEREZA BORJA-B-EL CHANCO,76 - VALLE DEL CAUCA,76823 - TORO,URBANO,,EL CHANCO,QUEBRADA,EL LAZARO - EMBALSE SARA BRUT,76 - VALLE DEL CAUCA,76823 - TORO,ACUEDUCTO,ACUAVALLE S.A E.S.P TORO,3223605259,CRA 2 # 7 -46,UESVALLE - ARO CARTAGO,CARLOS MARIO ARANGO,,20/01/2026,Cartago,muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv,20260526_1510,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_1510\muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv
20260120-6125-VIG,VIGILANCIA RUTINARIA,20/01/2026,OAR200126-005,Agua tratada,4201,GRIFO,MZ E CASA 38 URB LAS PALMAS,76 - VALLE DEL CAUCA,76400 - LA UNIÓN,URBANO,,LAS PALMAS,LAGO,EMBALSE SARA BRUT,76 - VALLE DEL CAUCA,76400 - LA UNIÓN,ACUEDUCTO,SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P.-LA UNIÓN,2293156,CLL 12 # 13-29,UESVALLE - ARO CARTAGO,OSCAR ARMANDO RIOS,,20/01/2026,Cartago,muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv,20260526_1510,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_1510\muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv
20260120-6126-VIG,VIGILANCIA RUTINARIA,20/01/2026,CMAA200126-5,Agua tratada,4408,GRIFO,IE SAN JOSE CRA 2 CALLE 6 Y 7,76 - VALLE DEL CAUCA,76497 - OBANDO,URBANO,,CENTRO,QUEBRADA,EL NARANJO-EMBALSE SARA BRUT,76 - VALLE DEL CAUCA,76497 - OBANDO,ACUEDUCTO,ACUAVALL S.A E.S.P OBANDO,22053210,CLL 4 # 2 - 30,UESVALLE - ARO CARTAGO,CARLOS MARIO ARANGO,,20/01/2026,Cartago,muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv,20260526_1510,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_1510\muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv
20260120-6127-VIG,VIGILANCIA RUTINARIA,20/01/2026,CMAA200126-4,Agua tratada,4407,GRIFO,ENTRADA A MOLINA-CRA 6 CALLE 7A,76 - VALLE DEL CAUCA,76497 - OBANDO,URBANO,,EL LLANO,QUEBRADA,EL NARANJO EMBALSE SARABRUT,76 - VALLE DEL CAUCA,76497 - OBANDO,ACUEDUCTO,ACUAVALL S.A E.S.P OBANDO,22053210,CLL 4 # 2 - 30,UESVALLE - ARO CARTAGO,CARLOS MARIO ARANGO,,20/01/2026,Cartago,muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv,20260526_1510,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_1510\muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv
20260120-6128-VIG,VIGILANCIA RUTINARIA,20/01/2026,CMAA200126-3,Agua tratada,0001,GRIFO#0001,CRA 2 #3-52 CORREGIMIENTO SAN LUIS,76 - VALLE DEL CAUCA,76400 - LA UNIÓN,RURAL,SAN LUIS frente guarderia,,QUEBRADA,EL JORDAN-LA SONORA-EL RINCON,76 - VALLE DEL CAUCA,76400 - LA UNIÓN,ACUEDUCTO,ASOCIACION DE USUARIOS ACUEDUCTO SAN PEDRO Y SAN LUIS ASUASPEL,3217365561,CL 22 # 22-49,UESVALLE - ARO CARTAGO,CARLOS MARIO ARANGO,,20/01/2026,Cartago,muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv,20260526_1510,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_1510\muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv
20260120-6129-VIG,VIGILANCIA RUTINARIA,20/01/2026,OAR200126-006,Agua tratada,8636,GRIFO,FRENTE A ANCIANANTO SAN INES CLL 17 CRA 5,76 - VALLE DEL CAUCA,76863 - VERSALLES,URBANO,,B. EL OASIS,QUEBRADA,PATUMA,76 - VALLE DEL CAUCA,76863 - VERSALLES,ACUEDUCTO,COOPERATIVA DE SERVICIOS PUBLICOS DE VERSALLES CAMINO VERDE APC,3148332516,CRA 7 # 9-28,UESVALLE - ARO CARTAGO,OSCAR ARMANDO RIOS,,20/01/2026,Cartago,muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv,20260526_1510,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_1510\muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv
